['00010', '245005']
['00013', '276506']
['00036', '248505']
['00045', '268406']
['00048', '253105']
['00070', '387713']
['00081', '341210']
['00092', '366812']
['00102', '295808']
['00104', '408014']
['00122', '095695']
['00123', '211403']
['00130', '438916']
['00135', '405614']
['00176', '355311']
['00183', '277106']
['00184', '347911']
['00185', '422615']
['00186', '144498']
['00188', '416714']
['00204', '297708']
['00207', '254605']
['00210', '142398']
['00226', '070394', '295608']
['00250', '127597']
['00259', '197602']
['00312', '168600']
['00318', '427315']
['00323', '428915']
['00324', '047892']
['00327', '315509']
['00328', '307308']
['00331', '178001']
['00364', '067594']
['00366', '195602']
['00382', '436616']
['00390', '377712']
['00414', '123097']
['00417', '280007']
['00420', '076394']
['00421', '097295']
['00431', '423615']
['00434', '408214']
['00448', '305708', '355611']
['00462', '326709']
['00464', '429815']
['00472', '057593']
['00508', '135798']
['00522', '286407']
['00523', '317509']
['00572', '253105']
['00580', '264406']
['00581', '340010']
['00592', '217303']
['00605', '116497']
['00619', '130598']
['00624', '334510']
['00634', '073894']
['00640', '191401']
['00644', '271206']
['00657', '435316']
['00675', '207502']
['00677', '234904']
['00702', '100496']
['00708', '078794']
['00717', '255005']
['00721', '331810']
['00739', '349911']
['00761', '278107']
['00787', '129998']
['00816', '265406']
['00818', '343910']
['00829', '108296', '309308']
['00837', '145899']
['00845', '321709']
['00847', '061893']
['00859', '232404']
['00869', '364212', '433215']
['00882', '228004']
['00893', '046892']
['00910', '246905']
['00934', '234304']
['00948', '383213']
['00950', '351811']
['00961', '242004']
['00969', '371112']
['00972', '399914']
['00984', '438716']
['00989', '085495']
['01014', '136098']
['01022', '398513']
['01033', '143298']
['01056', '257105']
['01057', '209002', '332810']
['01059', '430715']
['01068', '355011']
['01073', '261606']
['01078', '101996']
['01086', '309308']
['01087', '043892']
['01091', '045292']
['01099', '371312']
['01102', '387813']
['01104', '269406']
['01106', '420215']
['01107', '116297']
['01108', '069494']
['01117', '147199']
['01144', '156799', '183501']
['01150', '183201', '294608', '328510']
['01154', '272406', '377312']
['01158', '411414']
['01164', '045492', '113897']
['01171', '334410']
['01175', '146099']
['01189', '125897', '335010']
['01192', '165200']
['01195', '127997']
['01217', '229904']
['01225', '168300']
['01237', '122197']
['01243', '374412']
['01246', '407114']
['01248', '150799']
['01255', '190501']
['01256', '292107']
['01284', '088095']
['01291', '173300']
['01293', '178401']
['01301', '350011']
['01307', '077294']
['01314', '043492', '072194', '086095', '141598']
['01316', '351211']
['01319', '175400']
['01322', '439416']
['01327', '185901']
['01331', '226603']
['01335', '289407']
['01350', '185601', '390013']
['01355', '227204']
['01356', '066894']
['01362', '312009']
['01374', '287407']
['01375', '200602']
['01389', '388913']
['01400', '171900']
['01403', '211103']
['01406', '074694']
['01409', '433615']
['01410', '112496']
['01417', '087195']
['01420', '279207']
['01455', '163600']
['01456', '397313', '423215']
['01462', '310908']
['01478', '197402']
['01484', '360611']
['01488', '145198']
['01525', '372612']
['01527', '186401']
['01530', '293507']
['01535', '071694']
['01537', '385713']
['01543', '302708']
['01550', '237304']
['01594', '388013']
['01601', '194602']
['01602', '270906']
['01617', '236504']
['01622', '048492']
['01623', '328710', '433415']
['01630', '192101']
['01648', '321509']
['01653', '309408']
['01667', '428315']
['01673', '087995']
['01675', '092795']
['01677', '355811']
['01688', '293907']
['01717', '086695']
['01718', '058393']
['01725', '348011']
['01746', '356811']
['01748', '103296', '325209']
['01762', '260405']
['01779', '222903']
['01793', '379112']
['01798', '431015']
['01801', '345410']
['01804', '252805']
['01808', '193301']
['01816', '183901']
['01817', '188801']
['01822', '172900']
['01831', '263206']
['01885', '079694']
['01901', '364712']
['01904', '422515']
['01908', '252605']
['01915', '091795']
['01943', '169500']
['01954', '263306']
['01958', '319709']
['01967', '193901']
['01968', '188401']
['01971', '252105']
['01982', '116997']
['01989', '110496']
['01996', '334810']
['01997', '147499']
['02004', '242204']
['02008', '146799']
['02013', '272706']
['02020', '062393']
['02025', '251705']
['02030', '383713']
['02033', '272906']
['02039', '201102']
['02043', '191701']
['02046', '075294']
['02055', '420315']
['02058', '393413']
['02066', '388613']
['02068', '122697', '404314']
['02076', '072394']
['02077', '150899']
['02080', '055493']
['02096', '233904']
['02111', '288507']
['02116', '227204']
['02147', '064193']
['02150', '367212']
['02155', '323909']
['02162', '241004']
['02174', '355211']
['02179', '207202']
['02188', '287207']
['02199', '077494']
['02201', '408514']
['02208', '434715']
['02224', '075394']
['02228', '332610']
['02234', '353911']
['02254', '139498']
['02260', '361711']
['02263', '344410']
['02270', '287607']
['02277', '241904']
['02281', '203502']
['02291', '100596']
['02292', '159699']
['02303', '314009']
['02305', '242504']
['02311', '380012']
['02316', '426815']
['02317', '060093']
['02319', '261306']
['02321', '094195']
['02340', '300108']
['02366', '214503']
['02387', '330310']
['02390', '396213']
['02391', '164000']
['02394', '318709']
['02395', '398813']
['02414', '280607', '430215']
['02418', '195002', '339610']
['02437', '377812']
['02461', '258705']
['02476', '087795']
['02489', '280907', '283007']
['02490', '387813']
['02508', '078394']
['02514', '180801']
['02518', '158499']
['02536', '326809']
['02539', '247705']
['02576', '099296']
['02584', '370512']
['02592', '379212']
['02597', '193801']
['02602', '060793']
['02611', '409114']
['02615', '083595']
['02619', '398113']
['02625', '409714']
['02628', '162500']
['02650', '378712']
['02658', '174500']
['02677', '309508']
['02690', '147099']
['02691', '067994']
['02700', '214603']
['02706', '245205']
['02709', '183001']
['02719', '423315']
['02723', '135098']
['02732', '303708']
['02742', '073694']
['02743', '337010']
['02781', '165900']
['02786', '229604']
['02793', '155399']
['02809', '246605']
['02828', '387813']
['02865', '336510']
['02869', '086195']
['02886', '236504']
['02894', '343310']
['02911', '393413']
['02926', '393813']
['02928', '139598']
['02935', '071694']
['02952', '269906']
['02967', '307808']
['02976', '122397']
['02987', '439716']
['02989', '173900']
['02990', '131998']
['03000', '166300']
['03002', '390513']
['03005', '416914']
['03012', '074894']
['03027', '373712']
['03035', '124697']
['03041', '090995']
['03051', '187601']
['03056', '253305']
['03076', '398813']
['03096', '129297']
['03104', '063793']
['03105', '392413']
['03112', '121597']
['03114', '075594']
['03124', '425115']
['03127', '294307']
['03131', '287007']
['03136', '175000']
['03138', '396213']
['03145', '226703']
['03148', '378912']
['03150', '184201']
['03157', '365212']
['03166', '085395', '181201']
['03170', '256605']
['03171', '357311']
['03186', '063693']
['03189', '165900']
['03208', '122797']
['03212', '197702']
['03246', '351111']
['03249', '356311']
['03250', '379912']
['03257', '379312']
['03259', '407314']
['03271', '266406']
['03274', '119697']
['03289', '221103']
['03302', '199102']
['03304', '163000']
['03306', '279507']
['03310', '083195']
['03314', '123297']
['03319', '078794']
['03320', '324309']
['03324', '313109']
['03332', '408114']
['03334', '416414']
['03335', '252805', '288607']
['03340', '333910']
['03352', '262606']
['03361', '058693']
['03377', '066994']
['03380', '196602']
['03386', '433815']
['03400', '197602']
['03412', '415814']
['03413', '221903']
['03417', '246805']
['03418', '406014']
['03419', '343510']
['03425', '192001']
['03442', '333610']
['03443', '062093']
['03444', '231204']
['03451', '197902']
['03453', '370812']
['03473', '079794', '081594']
['03480', '401214']
['03488', '253705']
['03495', '093495']
['03503', '296108']
['03521', '088595']
['03529', '284307']
['03539', '422715']
['03544', '228504']
['03558', '420715']
['03560', '386913']
['03578', '230304']
['03581', '083295']
['03590', '256905']
['03592', '152399']
['03602', '425415']
['03604', '080594']
['03613', '156799']
['03623', '052593']
['03628', '069294']
['03631', '388413', '408414']
['03641', '284707']
['03651', '261906']
['03653', '381012']
['03683', '139598']
['03710', '324709']
['03711', '331910']
['03721', '336310']
['03729', '225003']
['03732', '070394', '074794']
['03739', '332010']
['03740', '296308']
['03756', '422315']
['03764', '220203']
['03768', '123797']
['03777', '283307']
['03790', '186001']
['03795', '044092']
['03805', '400614']
['03816', '398913']
['03820', '403914', '429015']
['03821', '135498']
['03833', '087595']
['03839', '096895']
['03840', '223003']
['03849', '042892']
['03862', '343810']
['03871', '140498']
['03882', '178201']
['03890', '408314']
['03897', '231904']
['03923', '179301']
['03924', '148299']
['03931', '211603']
['03949', '130898']
['03962', '186301']
['03963', '115097']
['03975', '254905']
['03980', '132798']
['03985', '377612']
['03993', '217503']
['04006', '211303']
['04015', '206502']
['04042', '044192']
['04044', '179001']
['04046', '362311']
['04064', '199202']
['04068', '416114']
['04074', '377812']
['04079', '254505']
['04083', '058793']
['04121', '221203']
['04122', '375212']
['04129', '167900']
['04141', '318509']
['04162', '431315']
['04166', '366112']
['04167', '421515']
['04198', '377412']
['04200', '067294']
['04204', '153299']
['04209', '354211']
['04215', '437416']
['04223', '437616']
['04229', '396213']
['04243', '399213']
['04253', '157699']
['04261', '438116']
['04265', '258605']
['04272', '189801']
['04274', '205702']
['04287', '231304']
['04290', '151599']
['04296', '299908']
['04308', '300408']
['04312', '349411']
['04331', '099196']
['04353', '189301', '350511']
['04362', '198702', '335410']
['04370', '189801']
['04381', '283607']
['04382', '215503']
['04384', '104296']
['04398', '344510']
['04401', '090195']
['04403', '385413']
['04412', '184501']
['04424', '049792']
['04448', '102896']
['04462', '237704']
['04467', '163900']
['04470', '060693']
['04478', '275806']
['04484', '129598']
['04495', '363211']
['04497', '144198']
['04502', '407114']
['04515', '285107']
['04519', '319309']
['04521', '188201']
['04531', '408514']
['04541', '335110']
['04552', '060893']
['04560', '045292']
['04562', '055693']
['04565', '199202']
['04569', '374612']
['04619', '213403']
['04626', '060193']
['04641', '277706']
['04642', '326009']
['04654', '171100']
['04657', '136398']
['04666', '337310']
['04669', '239204']
['04674', '415714']
['04681', '325909']
['04686', '182501']
['04697', '173600', '361811']
['04698', '291207']
