['70001', '228004']
['70002', '433615']
['70005', '128297']
['70006', '133298']
['70021', '386813']
['70032', '136298']
['70038', '258605']
['70043', '073594']
['70046', '320209']
['70067', '217303']
['70071', '268106']
['70077', '332810']
['70079', '367712']
['70083', '391313']
['70095', '429015']
['70111', '343010']
['70121', '330410']
['70124', '298908']
['70129', '311309']
['70138', '342410']
['70152', '288607']
['70168', '278707']
['70173', '103096']
['70178', '219903']
['70182', '145198']
['70237', '084495']
['70241', '148699']
['70243', '267806']
['70255', '317409']
['70257', '315509']
['70268', '076594', '281207']
['70276', '302508']
['70286', '409914']
['70294', '356111']
['70302', '222703']
['70311', '063193', '073094']
['70315', '297708']
['70334', '139598']
['70351', '117397']
['70358', '210403']
['70408', '242204']
['70424', '224403']
['70445', '423715']
['70462', '394513']
['70474', '343510']
['70495', '202502']
['70503', '405914']
['70505', '305208']
['70510', '097595', '173300', '253605']
['70512', '067094']
['70520', '167600']
['70528', '299308']
['70529', '150599']
['70533', '324609']
['70544', '397013']
['70549', '091095', '165600', '185801']
['70550', '376012']
['70554', '306908']
['70581', '097595']
['70583', '397813']
['70593', '358311']
['70602', '283207']
['70608', '236204']
['70617', '341010']
['70628', '305108']
['70632', '122997']
['70635', '431115']
['70643', '303808']
['70646', '365712']
['70661', '104996']
['70664', '428915']
['70688', '195002']
['70692', '286107']
['70704', '145299']
['70707', '146399']
['70733', '172300']
['70736', '293807']
['70738', '186801']
['70747', '394213']
['70754', '091295', '147999']
['70767', '430415']
['70785', '345911']
['70813', '160899']
['70817', '268806']
['70828', '190301']
['70833', '378112']
['70847', '357111']
['70852', '298908']
['70863', '151399', '326809']
['70893', '139998']
['70898', '175500']
['70907', '212203']
['70916', '421315']
['70920', '376412']
['70921', '235604']
['70952', '218003']
['70960', '228904']
['70963', '384613']
['70965', '055993']
['70977', '067194']
['70994', '137198']
['70996', '219603']
['71007', '215003', '401014']
['71010', '420515']
['71014', '373612']
['71028', '046292']
['71041', '186401']
['71069', '276706']
['71074', '176800']
['71076', '184401']
['71091', '304308']
['71092', '189701']
['71106', '076194']
['71109', '258305']
['71111', '425815']
['71129', '230204']
['71141', '385813']
['71152', '331110']
['71153', '300908']
['71161', '072394', '391113']
['71164', '206602']
['71175', '131798']
['71178', '072594']
['71184', '179601']
['71187', '165000']
['71195', '086595']
['71200', '232104']
['71227', '252705']
['71236', '103496']
['71242', '199402']
['71246', '405114']
['71256', '294007', '369512']
['71272', '219203', '344310']
['71273', '241304', '337110']
['71275', '237204']
['71283', '211303']
['71288', '117597']
['71290', '178901']
['71304', '191901']
['71305', '328209']
['71306', '303508']
['71308', '267906']
['71317', '107396']
['71325', '104796']
['71341', '183401']
['71359', '319909', '320309']
['71366', '343210']
['71380', '325009']
['71382', '219303']
['71393', '333810']
['71412', '340110']
['71418', '246005', '345310']
['71425', '379912']
['71446', '200202']
['71448', '226003']
['71471', '164500']
['71473', '073294']
['71497', '382813']
['71532', '256605', '268406']
['71537', '262906']
['71538', '088695']
['71545', '230604']
['71547', '202202']
['71556', '207502']
['71579', '400714']
['71590', '307308']
['71593', '276306']
['71613', '159599']
['71623', '164800']
['71625', '230004']
['71648', '326109']
['71658', '245905']
['71662', '155199']
['71674', '233204']
['71681', '246605']
['71701', '220603']
['71708', '194001']
['71715', '266106']
['71721', '266806']
['71726', '169600']
['71740', '218203']
['71756', '085095']
['71757', '366912']
['71772', '399013']
['71779', '137298']
['71788', '419015']
['71790', '379012']
['71820', '097795']
['71828', '300308']
['71831', '055493']
['71844', '279007']
['71876', '242304']
['71878', '342610']
['71894', '351311']
['71902', '091195']
['71909', '392213']
['71918', '399213']
['71922', '311109']
['71940', '047492']
['71944', '134798']
['71951', '206102']
['71963', '247905']
['71964', '090995', '281407']
['71965', '429715']
['71987', '151699']
['71989', '412914']
['72003', '274106']
['72009', '296708']
['72025', '094295']
['72026', '179601']
['72030', '092795']
['72035', '352011']
['72040', '405914']
['72042', '154899']
['72043', '438916']
['72044', '327009']
['72058', '144098']
['72062', '325909']
['72063', '152299']
['72067', '050492']
['72068', '360611']
['72072', '242404']
['72075', '231104']
['72077', '265206']
['72078', '315609']
['72095', '412114']
['72096', '222603']
['72105', '338510']
['72106', '431315']
['72118', '127297']
['72123', '285607']
['72131', '415614']
['72142', '096095']
['72144', '338310']
['72163', '272006']
['72169', '419115']
['72173', '101696']
